Token,ShortName,Series,CompanyName,ticksize,Lotsize,DateOfListing,DateOfDeListing,IssuePrice,FaceValue,ISINCode,52WeeksHigh,52WeeksLow,LifeTimeHigh,LifeTimeLow,HighDate,LowDate,Symbol,InstrumentType,PermittedToTrade,IssueCapital,WarningPercent,FreezePercent,CreditRating,IssueRate,IssueStartDate,InterestPaymentDate,IssueMaturityDate,BoardLotQty,Name,ListingDate,ExpulsionDate,ReAdmissionDate,RecordDate,ExpiryDate,NoDeliveryStartDate,NoDeliveryEndDate,MFill,AON,ParticipantInMarketIndex,BookClsStartDate,BookClsEndDate,EGM,AGM,Interest,Bonus,Rights,Dividends,LocalUpdateDateTime,DeleteFlag,Remarks,NormalMarketStatus,OddLotMarketStatus,SpotMarketStatus,AuctionMarketStatus,NormalMarketEligibility,OddLotlMarketEligibility,SpotMarketEligibility,AuctionlMarketEligibility,MarginPercentage,ExchangeCode
757683,PUSJEW,SM,PUSHPA JEWELLERS LIMITED,0.01,1,,,0,10,INE154801018,148,106.4,148,106.4,,,,0,0,0,164.8,109.9,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,PUSHPA
757687,CEDTEX,SM,CEDAAR TEXTILE LIMITED,0.01,1,,,0,10,INE11J101017,136.3,107.4,136.3,107.4,,,,0,0,0,149.85,99.95,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,CEDAAR
757745,TQJ25A,TB,91 Day T-Bill 02 Oct 25,0.01,1,,,0,100,IN002025X141,0,0,0,0,,,,0,0,0,103.61,93.74,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,91D021025
757746,THA26A,TB,182 Day T Bill 01 Jan 26,0.01,1,,,0,100,IN002025Y149,0,0,0,0,,,,0,0,0,102.28,92.53,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,182D010126
757747,TYG26A,TB,364 Day T-Bill 02 Jul 26,0.01,1,,,0,100,IN002025Z146,0,0,0,0,,,,0,0,0,99.42,89.95,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,364D020726
757753,591F28,GS,5.91% GS 30 Jun 2028,0.01,1,,,0,100,IN0020250034,0,0,0,0,,,,0,0,0,104.1,94.19,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,591GS2028
757754,PICAGR,EQ,PICCADILY AGRO INDUSTRIES LTD,0.01,1,,,0,10,INE546C01010,630,569.1,630,569.1,,,,0,0,0,722.4,481.6,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,PICCADIL
757763,SUNINF,SM,SUNTECH INFRA SOLUTIONS LTD,0.01,1,,,0,10,INE0SGZ01016,110,86,110,87.2,,,,0,0,0,106.5,71,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,SUNTECH
757767,SAMTUB,EQ,SAMBHV STEEL TUBES LIMITED,0.01,1,,,0,10,INE12NJ01018,149.4,96.25,134.95,96.25,,,,0,0,0,166.71,111.14,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,SAMBHV
757772,HDBFIN,EQ,HDB FINANCIAL SERVICES LIMITED,0.01,1,,,0,10,INE756I01012,891.9,791.55,891.9,791.55,,,,0,0,0,960.15,640.15,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,HDBFS
