Token,ShortName,Series,CompanyName,TickSize,LotSize,ScripCode,MarketLot,BCastFlag,AVMBuyMargin,AVMSellMargin,ScripID,ScripName,GroupName,NdFlag,NDSDate,NDEDate,SuspStatus,avmflag,SuspensionReason,Suspensiondate,DateOfListing,DateOfDeListing,IssuePrice,FaceValue,ISINCode,52WeeksHigh,52WeeksLow,LifeTimeHigh,LifeTimeLow,HighDate,LowDate,MarginPercentage,ExchangeCode
939899,INMN41,DR,12% INDEL MONEY LTD NOV29,1200,1,939899,0,0,0,0,12IML29,12% INDEL MONEY LTD NOV29,,,,,,,,,,,800,1000,INE0BUS07BE5,0,0,0,0,,,,12IML29
939901,INMN42,DR,0% INDEL MONEY LTD MAY30,1242,1,939901,0,0,0,0,IML8112024,0% INDEL MONEY LTD MAY30,,,,,,,,,,,828,1000,INE0BUS07BF2,0,0,0,0,,,,IML8112024
937727,INMND1,DR,INDEL MONEY LIMITED OPT I 9.25,1200,1,937727,0,0,0,0,925IML22,INDEL MONEY LIMITED OPT I 9.25,,,,,,,,,,,800,1000,INE0BUS07023,1010,820.21,1010,820.21,,,,925IML22
937729,INMND2,DR,INDEL MONEY LIMITED OTP II,1332,1,937729,0,0,0,0,IML251021,INDEL MONEY LIMITED OTP II,,,,,,,,,,,888,1000,INE0BUS07031,1110,822.4,1110,822.4,,,,IML251021
937731,INMND3,DR,10.5% Indel Money Ltd. Apr 23,1188,1,937731,0,0,0,0,1050IML23,10.5% Indel Money Ltd. Apr 23,,,,,,,,,,,792,1000,INE0BUS07049,1049,845.2,1049.95,840,,,,1050IML23
937733,INMND4,DR,0% Indel Money Ltd. Apr 23,1350,1,937733,0,0,0,0,IML251021A,0% Indel Money Ltd. Apr 23,,,,,,,,,,,900,1000,INE0BUS07056,1125,985,1125,809.2,,,,IML251021A
937735,INMND5,DR,10.75% Indel Money Ltd. Oct 24,1167.48,1,937735,0,0,0,0,1075IML24,10.75% Indel Money Ltd. Oct 24,,,,,,,,,,,778.32,1000,INE0BUS07064,1000,872.8,1049.95,872.8,,,,1075IML24
937737,INMND6,DR,10.75% Indel Money Ltd. Oct 24,1224,1,937737,0,0,0,0,1075IML24A,10.75% Indel Money Ltd. Oct 24,,,,,,,,,,,816,1000,INE0BUS07072,1189.8,860.2,1189.8,860.2,,,,1075IML24A
937739,INMND7,DR,0% Indel Money Ltd. Oct 24,1483.5,1,937739,0,0,0,0,IML24,0% Indel Money Ltd. Oct 24,,,,,,,,,,,989,1000,INE0BUS07080,1280,880.2,1280,850,,,,IML24
937741,INMND8,DR,11% Indel Money Ltd. Apr 26,1210.8,1,937741,0,0,0,0,11IML26,11% Indel Money Ltd. Apr 26,,,,,,,,,,,807.2,1000,INE0BUS07098,1049.9,875,1100,850.1,,,,11IML26
937743,INMND9,DR,12% Indel Money Ltd. Nov 26,1212,1,937743,0,0,0,0,12IML26,12% Indel Money Ltd. Nov 26,,,,,,,,,,,808,1000,INE0BUS08013,1206,910.23,1206,840,,,,12IML26
938418,INN10,DR,9.4% INDIABULLS CML.CR 02FB28,720,1,938418,0,0,0,0,940SFIL28,9.4% INDIABULLS CML.CR 02FB28,,,,,,,,,,,480,10,INE244L07408,0,0,0,0,,,,940SFIL28
938422,INN11,DR,9.85% INDIABULLS CML.CR 02FB28,755.97,1,938422,0,0,0,0,985SFIL28,9.85% INDIABULLS CML.CR 02FB28,,,,,,,,,,,503.99,10,INE244L07416,962.4,460,1005,460,,,,985SFIL28
938492,INN12,DR,9.6% INDIABULLS COMM. APR 25,1200,1,938492,0,0,0,0,925SFIL25I,9.6% INDIABULLS COMM. APR 25,,,,,,,,,,,800,1000,INE244L07424,0,0,0,0,,,,925SFIL25I
938494,INN13,DR,10% INDIABULLS COMM. APR 25,1284.24,1,938494,0,0,0,0,965SFIL25I,10% INDIABULLS COMM. APR 25,,,,,,,,,,,856.16,1000,INE244L07457,1070.2,1050,1070.2,816.2,,,,965SFIL25I
938496,INN14,DR,INDIABULLS COMM LTD 9.57,1196.4,1,938496,0,0,0,0,888SFIL25C,INDIABULLS COMM LTD 9.57,,,,,,,,,,,797.6,1000,INE244L07432,997,950,997,950,,,,888SFIL25C
